,model_val,MA_val,LV_val,model_test,MA_test,LV_test
0,3025.4863,3919.67,5978.256,2297.6455,2598.4988,3804.5986
1,3669.2454,3875.0366,6113.181,2713.4683,2584.7173,3869.164
2,3630.6953,3875.7092,5487.502,2526.2354,2562.7256,3789.3264
3,3516.4302,3875.057,5482.1133,2457.9766,2578.0698,3794.5862
4,3140.7537,3883.3567,6090.099,2343.5007,2682.558,3954.082
5,3112.5889,3871.89,5742.008,2237.084,2878.6538,4022.3806
6,2974.6448,3860.0598,2680.4353,2265.4133,2875.618,1949.6785
7,3138.1777,3846.422,5725.625,2504.1082,2875.8535,4030.2693
8,3777.863,3851.5933,6052.636,3086.6165,2869.766,4100.657
9,3814.72,3842.8247,5456.9873,3014.2744,2851.3413,4022.3757
10,3586.7788,3842.5986,5493.499,2819.7778,2867.2314,4076.0645
11,3253.162,3840.464,6023.6187,2655.1357,2921.427,4156.8984
12,3126.8435,3848.1055,5737.964,2494.8657,2974.2236,4121.752
13,3291.3257,3824.5967,2699.3826,2554.5452,2972.4976,1761.2369
14,3319.2048,3819.9827,5700.593,2806.6555,3056.0176,4104.557
