,mass
40075,0.0
46079,0.0
37033,0.0
48377,0.0
39057,6629550.898994748
48489,643121.0768925016
35028,0.0
40023,0.0
20041,1442712.1667446997
48427,0.0
13103,577230.8420494446
40129,0.0
55103,0.0
35025,0.0
01075,0.0
47117,1479399.8771864083
51011,0.0
05087,0.0
22089,4365713.527911064
05111,1530821.483970757
12045,0.0
47063,2079815.72894
21007,0.0
48009,0.0
48023,0.0
48405,0.0
32029,1141489.460937464
13249,0.0
48313,2508420.1412738585
06077,36969979.12084076
28159,0.0
21103,2372876.9022770273
21167,0.0
31183,0.0
21135,0.0
27051,463029.87189727667
28053,0.0
01025,0.0
20017,1109661.7380606767
21221,1250845.3856616742
19099,3735826.7781734928
28153,0.0
48101,0.0
51081,2540531.2200080142
12105,19331650.634521868
48503,0.0
01123,0.0
33015,19678585.07090114
08105,0.0
19149,0.0
36123,0.0
53033,123098647.28141472
41017,0.0
19155,8877733.513815539
29043,0.0
28073,1762565.1399948634
18137,775561.352815383
38057,0.0
13147,424736.0540639876
22049,0.0
51133,0.0
48157,13462769.305372845
55047,0.0
30073,409247.1661529963
55127,2542539.9890211513
32021,0.0
18067,0.0
18125,510598.43951223296
21047,5289718.3650657665
26045,5766213.47686993
19179,0.0
06025,6389147.124614211
26027,0.0
44001,0.0
48035,0.0
44005,0.0
39045,929950.7036060545
38069,0.0
17015,0.0
27125,0.0
41031,0.0
47021,3191792.0503600542
30055,0.0
19019,483747.7387015093
17043,50233274.87719373
46047,0.0
27069,0.0
13219,0.0
48493,0.0
31059,0.0
12079,2746246.6402604007
18153,0.0
04012,7404472.081366359
13027,0.0
20185,0.0
13271,0.0
26115,9428122.648815816
18181,2494434.5322307777
18113,0.0
13133,1857034.0214554782
46017,0.0
46095,0.0
48135,3487123.2942943997
48293,0.0
53027,0.0
54003,6262508.101777447
30067,1559885.674453959
48121,21170844.12134244
45021,5086171.8050444415
37199,0.0
48387,0.0
48321,0.0
27149,0.0
13301,1352627.544063912
48197,0.0
17133,1248952.5114622978
