STATEFP,enplanements
01,3929379.0
04,28533808.0
05,4708165.0
06,113703882.0
08,41261156.0
09,24440274.0
10,15102261.0
11,25754126.0
12,106984673.0
13,58839687.0
16,2994124.0
17,56743148.0
18,22385759.0
19,5599997.0
20,6800663.0
21,7620016.0
22,6537092.0
23,1221913.0
24,38975587.0
25,26994088.0
26,18175749.0
27,19308694.0
28,3056061.0
29,15547884.0
30,1321790.0
31,2583212.0
32,30622746.0
33,633257.0
34,89010634.0
35,4762112.0
36,82659581.0
37,38927309.0
38,552860.0
39,19325525.0
40,4993862.0
41,10568925.0
42,20691800.0
44,1984916.0
45,38718325.0
46,701353.0
47,16694875.0
48,102243358.0
49,13543570.0
50,670636.0
51,30655445.0
53,36117822.0
54,4862376.0
55,4800802.0
56,518754.0
