"date","total_count","lineage_count","total_count_rolling","lineage_count_rolling","proportion","proportion_ci_lower","proportion_ci_upper","lineage","location"
2021-12-28,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-01-03,2,2,1.5,1.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-01-07,1,1,1.5,1.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-01-13,7,7,4,4,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-01-17,1,1,4,4,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-01-18,10,10,6,6,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-01-19,1,1,4.75,4.75,1,0.620622857700961,0.99990657939996,"omicron_1","USA_US-IL_17001"
2022-01-24,14,14,8.33333333333333,8.33333333333333,1,0.737782751282814,0.999940509697106,"omicron_1","USA_US-IL_17001"
2022-01-28,1,1,7.5,7.5,1,0.737782751282814,0.999940509697106,"omicron_1","USA_US-IL_17001"
2022-01-30,3,3,6,6,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-01-31,3,3,2.33333333333333,2.33333333333333,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-02-01,10,10,4.25,4.25,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-02-03,1,1,3.6,3.6,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-02-06,6,6,5,5,1,0.620622857700961,0.99990657939996,"omicron_1","USA_US-IL_17001"
2022-02-07,4,4,5.25,5.25,1,0.620622857700961,0.99990657939996,"omicron_1","USA_US-IL_17001"
2022-02-11,2,2,4,4,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-02-13,2,2,2.66666666666667,2.66666666666667,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-02-14,18,18,7.33333333333333,7.33333333333333,1,0.70756382633769,0.999932313535756,"omicron_1","USA_US-IL_17001"
2022-02-15,3,3,6.25,6.25,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-02-16,4,4,5.8,5.8,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-02-18,1,1,5.6,5.6,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-02-20,3,3,5.8,5.8,1,0.66961109084845,0.999921500151634,"omicron_1","USA_US-IL_17001"
2022-02-22,7,7,3.75,3.75,1,0.55523738234236,0.999884667211762,"omicron_1","USA_US-IL_17001"
2022-02-23,2,2,3.25,3.25,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-02-24,2,2,3,3,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-02-25,1,1,3,3,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-02-26,1,1,2.66666666666667,2.66666666666667,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-03-03,2,2,1.33333333333333,1.33333333333333,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-03-07,3,3,2.5,2.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-03-16,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-03-22,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-03-24,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-03-29,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-05,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-06,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-08,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-10,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-12,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-13,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-17,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-18,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-04-25,2,2,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-05-02,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-05-12,2,2,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-05-16,1,1,1.5,1.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-05-23,1,1,1,1,1,0.146746316309575,0.999614419019244,"omicron_1","USA_US-IL_17001"
2022-06-13,2,2,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-06-14,1,1,1.5,1.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-06-21,3,3,3,3,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-06-24,1,1,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-06-27,1,1,1.66666666666667,1.66666666666667,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-07-05,7,7,7,7,1,0.70756382633769,0.999932313535756,"omicron_1","USA_US-IL_17001"
2022-07-06,3,3,5,5,1,0.620622857700961,0.99990657939996,"omicron_1","USA_US-IL_17001"
2022-07-11,11,11,7,7,1,0.70756382633769,0.999932313535756,"omicron_1","USA_US-IL_17001"
2022-07-12,1,1,5,5,1,0.620622857700961,0.99990657939996,"omicron_1","USA_US-IL_17001"
2022-07-18,3,3,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-07-20,1,1,2,2,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-07-21,3,3,2.33333333333333,2.33333333333333,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-07-25,4,4,2.66666666666667,2.66666666666667,1,0.46441675695705,0.999849363974563,"omicron_1","USA_US-IL_17001"
2022-07-26,2,2,2.5,2.5,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
2022-07-28,1,1,2.33333333333333,2.33333333333333,1,0.333178245598791,0.999783091529969,"omicron_1","USA_US-IL_17001"
