state_fips,Name,Population,median_age
01,Alabama,5157699,39.6
04,Arizona,7582384,39.4
05,Arkansas,3088354,39.1
06,California,39431263,38.4
08,Colorado,5957494,38
09,Connecticut,3675069,41.2
10,Delaware,1051917,42.1
11,District of Columbia,702250,34.9
12,Florida,23372215,42.7
13,Georgia,11180878,38
16,Idaho,2001619,37.8
17,Illinois,12710158,39.4
18,Indiana,6924275,38.3
19,Iowa,3241488,39
20,Kansas,2970606,38
21,Kentucky,4588372,39.3
22,Louisiana,4597740,38.7
23,Maine,1405012,44.9
24,Maryland,6263220,39.8
25,Massachusetts,7136171,40.1
26,Michigan,10140459,40.4
27,Minnesota,5793151,39.2
28,Mississippi,2943045,39.3
29,Missouri,6245466,39.4
30,Montana,1137233,41.3
31,Nebraska,2005466,37.4
32,Nevada,3267467,39.5
33,New Hampshire,1409032,43.6
34,New Jersey,9500851,40.1
35,New Mexico,2130256,39.9
36,New York,19867248,40.1
37,North Carolina,11046024,39.4
38,North Dakota,796568,36.7
39,Ohio,11883304,39.8
40,Oklahoma,4095393,37.4
41,Oregon,4272371,40.8
42,Pennsylvania,13078751,41.2
44,Rhode Island,1112308,41
45,South Carolina,5478831,40.7
46,South Dakota,924669,38.7
47,Tennessee,7227750,39.1
48,Texas,31290831,35.9
49,Utah,3503613,32.5
50,Vermont,648493,43.9
51,Virginia,8811195,39.4
53,Washington,7958180,38.7
54,West Virginia,1769979,42.9
55,Wisconsin,5960975,40.7
56,Wyoming,587618,40.2
