"date","total_count","lineage_count","total_count_rolling","lineage_count_rolling","proportion","proportion_ci_lower","proportion_ci_upper","lineage","location"
2021-04-22,1,1,2,0.5,0.25,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-04-23,2,1,2,0.666666666666667,0.333333333333333,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-04-25,1,1,1.75,0.75,0.428571428571429,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-04-26,6,5,2.5,2,0.8,0.333178245598791,0.999783091529969,"Alpha","USA_US-IL_17001"
2021-04-27,1,1,2.2,1.8,0.818181818181818,0.333178245598791,0.999783091529969,"Alpha","USA_US-IL_17001"
2021-05-04,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-05,1,1,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-06,2,2,1.33333333333333,1,0.75,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-05-10,8,7,3,2.5,0.833333333333333,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-11,1,1,3,2.75,0.916666666666667,0.46441675695705,0.999849363974563,"Alpha","USA_US-IL_17001"
2021-05-12,1,0,3,2.5,0.833333333333333,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-13,1,1,2.75,2.25,0.818181818181818,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-17,3,2,1.5,1,0.666666666666667,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-05-18,3,2,2,1.25,0.625,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-05-26,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-27,1,1,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-03,1,1,1,1,1,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-04,1,0,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-08,1,1,1,0.666666666666667,0.666666666666667,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-15,1,1,1,1,1,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-19,2,0,1.5,0.5,0.333333333333333,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-06-20,4,1,2.33333333333333,0.666666666666667,0.285714285714286,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-06-21,4,2,2.75,1,0.363636363636364,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-22,2,0,3,0.75,0.25,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-23,1,1,2.6,0.8,0.307692307692308,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-25,1,0,2.33333333333333,0.666666666666667,0.285714285714286,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-06-28,1,0,1.25,0.25,0.2,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-29,2,0,1.25,0.25,0.2,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-30,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-01,5,0,2.2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-02,2,0,2.4,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-03,1,0,2.16666666666667,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-04,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-05,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-06,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-08,1,0,1.33333333333333,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-07-09,5,0,1.83333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-11,4,0,2.6,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-07-12,7,1,3.8,0.2,0.0526315789473684,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-07-13,10,0,5.4,0.2,0.037037037037037,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-14,2,0,4.83333333333333,0.166666666666667,0.0344827586206897,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-15,9,0,6.16666666666667,0.166666666666667,0.027027027027027,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-16,4,0,6,0.166666666666667,0.0277777777777778,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-17,2,0,5.42857142857143,0.142857142857143,0.0263157894736842,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-18,7,0,5.85714285714286,0.142857142857143,0.024390243902439,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-19,9,0,6.14285714285714,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-20,5,0,5.42857142857143,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-21,11,0,6.71428571428571,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-07-22,13,0,7.28571428571429,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-07-23,9,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-24,4,0,8.28571428571429,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-25,5,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-26,13,0,8.57142857142857,0,0,5.3064053418493e-05,0.237610098632903,"Alpha","USA_US-IL_17001"
2021-07-27,40,2,13.5714285714286,0.285714285714286,0.0210526315789474,3.44526718020059e-05,0.161553304514194,"Alpha","USA_US-IL_17001"
2021-07-28,9,1,13.2857142857143,0.428571428571429,0.032258064516129,3.70519332987658e-05,0.172619445282057,"Alpha","USA_US-IL_17001"
